gen,best_fit,mean_fit,std_fit,best_prob,mean_prob,std_prob,doomsday
0,22.581159392203404,0.8648847735008545,10.76990548192289,0.12585489431859676,0.48802773034167524,0.2573265875060726,0
1,22.581159392203404,-3.7980074401163564,6.368048490930288,0.4490542728828378,0.4746385491693192,0.2857786761210681,0
2,22.581159392203404,-4.3908145415590205,6.190903608852223,0.5436894966115983,0.5033521635629993,0.3031596594145436,0
3,3.206986391615856,-5.359965018122861,1.9751618698829527,0.4832219814126171,0.5128920373010548,0.2580831462770841,0
4,22.581159392203404,-4.413126275854042,6.196805612357324,0.2802063886513536,0.4768378935478067,0.21674279271644528,0
5,22.581159392203404,-4.451443805083205,6.203069264597515,0.2802063886513536,0.5284229191615815,0.17061139355033803,0
6,-5.82600010738045,-5.872096331085372,0.13043693343056764,0.5525182290409565,0.4706359293828187,0.21400820809206425,0
7,-5.82600010738045,-5.850373698836302,0.09475842957007388,0.5211988627302682,0.39750342168841674,0.16001073598704998,0
8,22.581159392203404,-4.4300157238571085,6.197510498146322,0.4917697732513471,0.4130035614849213,0.18581192228145826,0
9,-5.82600010738045,-5.828798342098719,0.0006419590714339175,0.32824645596775126,0.35030974617189853,0.1888714551333819,0
10,-5.82600010738045,-5.828356515564256,0.0011782040919030123,0.32824645596775126,0.32870835674318133,0.24204229359977777,0
