gen,id,enemies,best_fit,mean_fit,std_fit
0,start,1347,23.52454527886863,-4.294787371390739,5.633375553193611
1,start,1347,23.52454527886863,-3.4838594111524657,6.10255909176249
2,start,1347,23.52454527886863,-3.0016834325483086,6.314969668432773
3,start,1347,23.52454527886863,-3.1795730905823905,6.352529653546586
4,start,1347,23.52454527886863,-1.989844651960814,7.7834483251120306
5,start,1347,23.52454527886863,-2.1169556191532815,7.229103957865904
6,start,1347,25.50639233724284,-1.0119144885501574,8.229906016045705
7,start,1347,25.50639233724284,0.3483252928036146,8.773881055029882
8,start,1347,25.50639233724284,0.9267366939956083,8.724817493735436
9,start,1347,25.50639233724284,1.87686239326161,9.236957282953584
10,start,1347,35.84656326470734,2.4872281125938893,9.418340983980443
11,start,1347,35.84656326470734,4.580017019081138,9.945935729087786
12,start,1347,35.84656326470734,3.981139059454307,9.838468611953832
13,start,1347,35.84656326470734,6.060927500618955,9.994043011438144
14,start,1347,35.84656326470734,7.9044816073889095,9.7766411068058
15,start,1347,35.84656326470734,8.121557837821761,9.500013682131314
16,start,1347,35.84656326470734,7.645626731730801,9.327823511371388
17,start,1347,35.84656326470734,8.331869454247089,9.450685886929827
18,start,1347,35.84656326470734,7.420108680960832,9.551610253304986
19,start,1347,35.84656326470734,8.595899161107534,8.976621888108328
20,start,1347,35.84656326470734,9.16770802784422,8.892745237422474
21,start,1347,35.84656326470734,9.704761518316934,9.335998168259705
22,start,1347,35.84656326470734,10.598513723757774,8.78303780391689
23,start,1347,35.84656326470734,11.580623241443961,7.79002409887247
24,start,1347,35.84656326470734,11.77052885829848,7.915646830367661
25,start,1347,35.84656326470734,11.796789836765228,7.7051345095049175
26,start,1347,35.84656326470734,10.635914847332918,8.753771672162129
27,start,1347,35.84656326470734,9.235177864574757,9.294220837161054
28,start,1347,35.84656326470734,9.623915569490462,8.877561616859003
29,start,1347,35.84656326470734,10.60242319017848,8.571353240369875
30,start,1347,35.84656326470734,11.98525748934652,7.4659492610665295
31,start,1347,35.84656326470734,11.675539967496707,8.186354726223028
32,start,1347,35.84656326470734,13.041307339815392,6.891325888522929
33,start,1347,35.84656326470734,12.163337968117025,7.538628101943082
34,start,1347,35.84656326470734,12.855474201118232,6.725609337153015
35,start,1347,35.84656326470734,11.886360926447043,6.9773162173038275
36,start,1347,35.84656326470734,11.913159303628689,7.43277619811378
37,start,1347,35.84656326470734,12.141688444579193,6.590650566299437
38,start,1347,35.84656326470734,12.076080956081043,6.956308831980467
39,start,1347,35.84656326470734,11.52855894775726,7.3790725338475704
40,start,1347,35.84656326470734,12.001852880980728,7.4430747602043486
41,start,1347,35.84656326470734,11.339223908120045,8.09758807706647
42,start,1347,35.84656326470734,11.803195571346562,7.198800139789141
43,start,1347,35.84656326470734,11.18348440915316,8.031446536539917
44,start,1347,35.84656326470734,11.142310422532349,8.136896679036791
45,start,1347,35.84656326470734,11.609627796297788,7.839466460310065
46,start,1347,35.84656326470734,11.741974175901376,7.811181040840474
47,start,1347,35.84656326470734,12.856370922332701,6.55162632161225
48,start,1347,35.84656326470734,11.95196155262924,7.683740714794205
49,start,1347,35.84656326470734,12.366784952113742,7.33008781641802
0,si0,13,39.20394224923463,19.432185610759607,14.157356184672675
