gen,id,enemies,best_fit,mean_fit,std_fit
0,start,1347,18.691866683176965,-5.128717461735605,3.92737861578135
1,start,1347,18.691866683176965,-4.921672603345668,3.766677288986405
2,start,1347,21.086154597441602,-4.141769340122409,5.490972465368755
3,start,1347,21.086154597441602,-3.205053590374003,6.934394160605652
4,start,1347,21.330539942000257,-2.595281243746458,7.517935710925808
5,start,1347,21.330539942000257,-1.2954952754369569,8.693996526250478
6,start,1347,22.48050493428391,-0.7416850719316213,8.675322056313249
7,start,1347,22.48050493428391,0.590757382479018,9.43611331315869
8,start,1347,22.48050493428391,0.10361902951782608,9.481839079098448
9,start,1347,25.07947989734261,0.5716759163676833,8.769030756995418
10,start,1347,29.911456177607963,1.5333199388192944,9.048030140700702
11,start,1347,29.911456177607963,2.416545513914749,9.1948513119785
12,start,1347,29.911456177607963,3.23700447076612,9.28230289369015
13,start,1347,29.911456177607963,2.88634269387037,9.130657849565658
14,start,1347,29.911456177607963,2.1141848598340296,8.620340236574181
15,start,1347,29.911456177607963,3.5255860708506344,9.95964500404211
16,start,1347,29.911456177607963,3.8322765259259906,9.988847325710285
17,start,1347,29.911456177607963,6.10821921520499,10.082505862325867
18,start,1347,29.911456177607963,7.281966325895251,9.936483376388779
19,start,1347,29.911456177607963,7.2369912758332235,9.989081337806914
20,start,1347,29.911456177607963,7.619531415482284,10.357894817922505
21,start,1347,29.911456177607963,8.508136931691084,10.127681580790044
22,start,1347,29.911456177607963,9.266527894058493,9.64321007023367
23,start,1347,31.37982431323289,8.360233944084975,10.01054841739944
24,start,1347,31.37982431323289,8.772091911311733,9.56928192811207
25,start,1347,34.2552345043388,10.375754804070894,9.181371857051738
26,start,1347,34.2552345043388,11.072484625030876,8.756529921831923
27,start,1347,34.2552345043388,9.894122958371321,9.085559384305787
28,start,1347,34.2552345043388,9.812189551533459,9.68175249103764
29,start,1347,34.2552345043388,9.722800960100408,9.41278897263135
30,start,1347,34.2552345043388,10.130917263932284,9.261857209970612
31,start,1347,34.2552345043388,10.92582116676504,8.372180498098409
32,start,1347,34.2552345043388,11.43149368226941,8.51570208642533
33,start,1347,34.2552345043388,11.407691136264527,8.192518971586845
34,start,1347,34.2552345043388,11.648056777731696,7.9823808101807066
35,start,1347,34.2552345043388,10.542938101611647,8.449867611269086
36,start,1347,34.2552345043388,10.348447418607114,8.127471166980767
37,start,1347,34.2552345043388,9.196232583516007,8.503376838872608
38,start,1347,34.2552345043388,11.2053647309593,7.680993566888507
39,start,1347,34.2552345043388,11.201295129833484,7.826047925778096
40,start,1347,34.2552345043388,12.208356950248708,7.033168592439845
41,start,1347,34.2552345043388,11.454067795789229,7.901521508268264
42,start,1347,34.2552345043388,11.473157443962153,7.856040049177806
43,start,1347,34.2552345043388,11.076645994204357,8.45682263452857
44,start,1347,34.2552345043388,10.549940576406534,8.71680567862234
45,start,1347,34.2552345043388,12.374130657509115,8.0973816189698
46,start,1347,34.2552345043388,11.704906815806316,7.916360571787148
47,start,1347,34.2552345043388,12.035965844794639,7.756728740600172
48,start,1347,34.2552345043388,13.893256348127373,6.390790083051045
49,start,1347,34.2552345043388,12.86651644050736,6.657988327453625
0,si0,47,30.57065437104556,18.894993598297162,8.176120333812152
0,si1,71,39.04416263053517,17.25092262874678,10.566604347472573
0,si2,13,57.165189262937396,20.21889154296154,12.717952379454292
0,si3,47,39.21925648420767,16.8750333598872,11.219193936782318
1,si0,47,30.57065437104556,19.092846132784757,7.729787197219446
1,si1,71,57.15067522005313,19.66968249403641,11.273799373286622
1,si2,13,57.165189262937396,20.88625298915177,14.138860478288857
1,si3,47,39.21925648420767,13.972368221947885,11.901746495749258
2,si0,47,30.57065437104556,16.18808226449483,9.348776029441762
2,si1,71,57.15067522005313,16.012203988109356,13.732917915184913
2,si2,13,57.165189262937396,21.95368803062765,12.632166313169499
