gen,best_fit,mean_fit,std_fit,prob,doomsday
0,22.51136363026786,-3.045670327552682,4.791228789120972,0.79,0
1,89.05173230259882,4.624294786467826,22.445071448040053,0.78,0
2,89.28010264645957,12.38301445819111,29.520821921451915,0.77,0
3,89.28010264645957,14.266453215624637,31.75003951726367,0.76,0
4,89.28010264645957,17.342714591487304,33.10859542764148,0.75,0
5,89.03699002086162,14.645603598127098,32.142707369142215,0.74,0
6,87.90324619773175,16.144053744012364,32.331578200525115,0.73,0
7,87.62957298262516,16.20277196169389,32.35270491189115,0.72,0
8,89.541682633452,18.157023431998724,34.66069434305171,0.71,0
9,89.541682633452,19.122903772170726,36.021517418520425,0.7,0
10,89.541682633452,16.967126261203305,35.33626976452383,0.69,0
11,89.541682633452,17.900623070645292,35.512982963855876,0.6799999999999999,0
12,89.541682633452,14.873320755510333,34.29080935134895,0.6699999999999999,0
13,89.541682633452,16.70825122032781,35.01020282866314,0.6599999999999999,0
14,89.05669509194095,15.60807402609377,34.745671736201146,0.6499999999999999,0
15,89.22693855665948,18.559622948910153,35.82715442781992,0.6399999999999999,0
16,89.22693855665948,17.539250207321764,35.478231550828724,0.6299999999999999,0
17,89.49289246928257,24.872870237131494,38.03932462179871,0.6199999999999999,0
18,89.49289246928257,22.098213406651745,37.289672953635545,0.6099999999999999,0
19,88.881682633452,23.01570240541122,37.4800980076419,0.5999999999999999,0
20,88.89289246928256,25.57149961215148,37.880114651522646,0.5899999999999999,0
21,89.05357331188759,25.246137996777467,38.33392603337255,0.5799999999999998,0
22,88.8917329693055,27.448077053492895,39.347379881339826,0.5699999999999998,0
23,89.48814186652396,26.287670014360014,38.09805477928274,0.5599999999999998,0
24,89.181682633452,29.63769888360663,38.17608452430658,0.5499999999999998,0
25,89.07679627126204,25.953401310044732,37.21202068483416,0.5399999999999998,0
26,89.35669509194095,23.882914399380113,36.86754145723565,0.5299999999999998,0
27,89.35669509194095,26.50986326448245,37.94653043153516,0.5199999999999998,0
28,89.54341372532802,24.955800537763885,37.49659694096514,0.5099999999999998,0
29,89.54341372532802,26.089821167457163,37.889274947950184,0.4999999999999998,0
30,89.54341372532802,30.06808806745056,38.869829966490734,0.48999999999999977,0
31,89.54341372532802,31.338704045101355,39.3704784452726,0.47999999999999976,0
32,89.01679627126204,26.14608781294682,37.80061972777607,0.46999999999999975,0
33,88.93669509194095,29.313691776727538,38.72363231998524,0.45999999999999974,0
34,89.01679627126204,31.068888482878915,39.967405335469955,0.44999999999999973,0
35,89.01679627126204,30.92811386442828,40.41328868233899,0.4399999999999997,0
36,89.42814186652396,29.008847559076106,40.589666117854634,0.4299999999999997,0
37,88.93669509194095,33.06683679366657,41.304319463510595,0.4199999999999997,0
38,89.18341372532802,33.73092299916988,41.35174730473734,0.4099999999999997,0
39,89.18341372532802,35.0984108504169,41.048536731687854,0.3999999999999997,0
40,89.18341372532802,37.39885552852201,41.281541874360514,0.3899999999999997,0
41,89.07173296930549,38.15369133169633,41.34336707742046,0.37999999999999967,0
42,89.07173296930549,39.92582433600168,42.261476389603764,0.36999999999999966,0
43,90.49402398497817,35.89595320792281,42.730450022895596,0.35999999999999965,0
44,90.37173230259883,34.615750777675544,42.0910803128295,0.34999999999999964,0
45,90.02814186652397,34.578876166769,42.470485621742085,0.33999999999999964,0
46,89.41669509194095,36.410159651341964,43.121134128933605,0.3299999999999996,0
47,89.61173296930549,43.11283274081149,42.60152940149566,0.3199999999999996,0
48,89.541682633452,41.329025223837924,42.70178989066378,0.3099999999999996,0
49,89.661682633452,38.54436175565516,42.85274349995251,0.2999999999999996,0
50,89.66814186652397,40.626972613040486,43.14376519100094,0.2899999999999996,0
51,89.66814186652397,43.00229915187483,42.608046675433705,0.2799999999999996,0
52,89.7187078342906,42.09200053730094,42.624726497049316,0.2699999999999996,0
53,89.7187078342906,41.79115599875362,43.120487855887305,0.25999999999999956,0
54,89.7187078342906,44.035045215789495,43.089260357451856,0.24999999999999956,0
55,89.79289246928256,41.490768311329084,42.95991644811748,0.23999999999999955,0
56,89.91289246928257,39.67937127988053,43.24780866530585,0.22999999999999954,0
57,89.91289246928257,42.28447817367323,43.77735763476741,0.21999999999999953,0
58,89.91289246928257,44.01528939297948,43.42670113054972,0.20999999999999952,0
59,89.64679402095825,44.17226208919552,43.6420070153812,0.1999999999999995,0
60,90.261682633452,46.52256410268948,43.664461231944514,0.1899999999999995,0
61,90.261682633452,46.73596429032953,43.60470372262976,0.1799999999999995,0
62,90.261682633452,49.77117906691949,44.102215274964564,0.16999999999999948,0
63,90.01402398497818,53.16900798774146,43.68519383495821,0.15999999999999948,0
64,90.01402398497818,53.56865389494191,42.41519681858488,0.14999999999999947,0
65,90.12936197187237,53.19213035693175,42.63267601064214,0.13999999999999946,0
66,90.12936197187237,52.301904611932564,43.852063759904276,0.12999999999999945,0
67,90.01402398497818,55.59092100854843,42.605368528236305,0.11999999999999945,0
68,90.01402398497818,53.44763829324975,42.991459078110914,0.10999999999999946,0
69,90.01402398497818,59.65056341041903,40.03860026218496,0.09999999999999946,0
70,90.2587078342906,62.80957148181486,39.69714279558709,0.08999999999999947,0
71,90.2587078342906,65.43309980883879,38.2279601884107,0.07999999999999947,0
72,90.2587078342906,62.99798195302416,39.517825495242626,0.06999999999999948,0
73,90.1987078342906,68.31277187919179,35.84689682153266,0.05999999999999948,0
74,90.44341372532803,70.22027144178915,34.722265496841146,0.049999999999999475,0
75,90.62341372532802,70.518980613648,35.026669373272995,0.039999999999999473,0
76,90.68814186652396,78.35017080683508,27.77875918894764,0.02999999999999947,0
77,90.68814186652396,82.22450514307559,21.93588176978738,0.01999999999999947,0
78,90.68814186652396,83.0572315828856,21.432656297090773,0.01,0
79,90.68814186652396,84.04971088916909,19.679533308258524,0.01,0
80,90.74341372532803,83.73382006043522,20.15334292965817,0.01,0
81,90.74341372532803,85.21013138281988,18.609462369037775,0.01,0
82,90.75289246928257,83.42713792230644,21.43769845476283,0.01,0
83,90.75289246928257,84.55878157114147,19.678957363221368,0.01,0
84,90.79870783429061,83.64996376611748,20.363483624930772,0.01,0
85,90.79870783429061,83.54025531443027,20.61206303787146,0.01,0
86,90.86341372532802,83.05794247310418,21.830551186494876,0.01,0
87,90.86341372532802,84.64506485702398,18.94771554298207,0.01,0
88,90.86341372532802,85.85703550528454,16.79559882066497,0.01,0
89,90.87289246928256,84.93023170322978,16.561344693509152,0.01,0
90,90.87289246928256,84.98232884267678,15.417729439964939,0.01,0
91,90.87289246928256,83.8348000742077,16.799607662759787,0.01,0
92,90.87289246928256,83.73564717922962,15.431126082701564,0.01,0
93,90.87289246928256,80.72522247140817,19.935948075213503,0.01,0
94,90.87289246928256,79.98180520221838,21.32879815132325,0.01,0
95,90.87289246928256,81.42441186725124,20.280849782581573,0.01,0
96,90.87289246928256,80.01197837879683,22.612925515517937,0.01,0
97,90.87289246928256,82.15325858961695,19.368980398167217,0.01,0
98,90.87289246928256,81.92203121120087,18.176267274353535,0.01,0
99,90.87289246928256,81.69185711435435,19.50992892973904,0.01,0
100,90.87289246928256,81.83377590421863,20.404581032559772,0.01,0
101,90.87289246928256,81.14711775399996,20.500979169872274,0.01,0
102,90.87289246928256,80.12196335126083,22.322573052109256,0.01,0
103,90.87289246928256,81.04827972811421,22.09146826157624,0.01,0
104,90.87289246928256,81.25756369525187,21.474625465539834,0.01,0
105,90.87289246928256,81.3315194908779,21.23431828335845,0.01,0
106,90.87289246928256,81.35096958431134,22.062710273132293,0.01,0
107,90.87289246928256,82.62847247110018,18.777819048136486,0.01,0
108,90.87289246928256,80.88991486618788,22.152360514766592,0.01,0
109,90.87289246928256,81.56339865800241,21.937405882484462,0.01,0
110,90.87289246928256,80.69255486459775,22.689711496138678,0.01,0
111,90.87289246928256,82.50415419388816,19.28678894858949,0.01,0
112,90.87289246928256,81.8692912140282,20.346132895500716,0.01,0
113,90.87289246928256,80.62411207102724,22.60133797698865,0.01,0
114,90.87289246928256,80.80859331278468,21.836915392439465,0.01,0
115,90.87289246928256,80.77378547558672,21.433828608605374,0.01,0
116,90.87289246928256,82.5206496924032,18.061719869848282,0.01,0
117,90.87289246928256,81.10626521224329,19.730546211923595,0.01,0
118,90.87289246928256,81.39784736674503,20.06815166444317,0.01,0
119,90.87289246928256,82.88420696057955,18.618004892743226,0.01,0
120,90.87289246928256,82.23554624082807,18.772404399124362,0.01,0
121,90.87289246928256,80.23988535933508,22.67617254248689,0.01,0
122,90.87289246928256,81.08926733458739,21.418513588438724,0.01,0
123,90.87289246928256,82.79813175219255,17.945306367292325,0.01,0
124,90.87289246928256,81.49237720729212,21.729087555384563,0.01,0
125,90.87289246928256,81.0535946505709,22.76165999186691,0.01,0
126,90.87289246928256,81.29247374795656,21.199179747354965,0.01,0
127,90.87289246928256,82.52252210565352,17.466018630564534,0.01,0
128,90.87289246928256,80.77729969344468,20.732312784017488,0.01,0
129,90.87289246928256,79.23967890712923,24.05322869796446,0.01,0
130,90.87289246928256,79.36893457241442,23.393774950595095,0.01,0
131,90.87289246928256,79.49213153138064,24.48110540305896,0.01,0
132,90.87289246928256,80.12940294356787,23.003063718310955,0.01,0
133,90.87289246928256,82.8201044327726,17.949579319787645,0.01,0
134,90.87289246928256,82.29248863839179,19.636338340374422,0.01,0
135,90.87289246928256,83.89292170085177,16.623262519203905,0.01,0
136,90.87289246928256,83.76278652319793,16.34082138089307,0.01,0
137,90.87289246928256,81.76153184240988,19.10668708222285,0.01,0
138,90.87289246928256,82.0645911193494,19.30446095944258,0.01,0
139,90.87289246928256,81.84053646567814,20.269709913977742,0.01,0
140,90.87289246928256,83.10063188681055,19.139641024272894,0.01,0
141,90.87289246928256,81.29644959022248,21.550349279868627,0.01,0
142,90.87289246928256,82.2778813348119,20.075322376665607,0.01,0
143,90.87289246928256,83.14876388544404,19.69874661928193,0.01,0
144,90.87289246928256,81.9994206192756,21.262682190168942,0.01,0
145,90.87289246928256,81.94815188966223,20.827763141568035,0.01,0
146,90.87289246928256,81.93206789185368,21.64391354868802,0.01,0
147,90.87289246928256,82.02671946885076,20.839564370823773,0.01,0
148,90.87289246928256,83.47772810748306,18.572756936244026,0.01,0
149,90.87289246928256,81.8028334170155,21.443630192372996,0.01,0
150,90.87289246928256,82.43180868873287,20.264113040496657,0.01,0
151,90.87289246928256,81.12018773806057,22.424985166089897,0.01,0
152,90.87289246928256,82.5009835292005,20.817170832789348,0.01,0
153,90.87289246928256,81.75541115419342,22.033100459802093,0.01,0
154,90.87289246928256,80.40569548973767,23.91277557975587,0.01,0
155,90.87289246928256,81.53797462892523,22.273897335673595,0.01,0
156,90.87289246928256,83.73894021147986,17.736858034415146,0.01,0
157,90.87289246928256,84.05894694442226,16.09000730182952,0.01,0
158,90.87289246928256,83.14027702498214,17.170559590467985,0.01,0
159,90.87289246928256,82.64893807268413,18.712398381698254,0.01,0
160,90.87289246928256,81.95885434921708,19.573408987994394,0.01,0
161,90.87289246928256,81.40854721399927,20.951317709166194,0.01,0
162,90.87289246928256,82.55843993670236,19.963474382627485,0.01,0
163,90.87289246928256,80.92858666871197,21.336344357877845,0.01,0
164,90.87289246928256,80.8878155081217,20.890921286200385,0.01,0
165,90.87289246928256,81.87087650385898,21.293614740972178,0.01,0
166,90.87289246928256,80.65465767956555,21.675095356603286,0.01,0
167,90.87289246928256,82.6806109189682,18.46217665935792,0.01,0
168,90.87289246928256,82.80312706704788,18.771863356047298,0.01,0
169,90.87289246928256,83.2073467875631,19.050921210120347,0.01,0
170,90.87289246928256,82.51962310892515,18.725736195167663,0.01,0
171,90.87289246928256,83.23580054856289,17.075089692909742,0.01,0
172,90.87289246928256,83.17598571514031,19.398531669362253,0.01,0
173,90.87289246928256,83.04605411326355,19.27806047287353,0.01,0
174,90.87289246928256,83.16224936774402,19.188333007242296,0.01,0
175,90.87289246928256,81.50566233519669,21.35544451724466,0.01,0
176,90.87289246928256,81.34545778350899,20.654416547828042,0.01,0
177,90.87289246928256,80.88898838685223,21.981539080001983,0.01,0
178,90.87289246928256,80.30530226819363,21.814313011752063,0.01,0
179,90.87289246928256,79.51589178867385,23.535443930989974,0.01,0
180,90.87289246928256,79.19626266827164,23.671614820726433,0.01,0
181,90.87289246928256,79.59610026208749,23.867229186809332,0.01,0
182,90.87289246928256,80.30988792563166,22.387581393632455,0.01,0
183,90.87289246928256,80.84034214160847,21.917920879367397,0.01,0
184,90.87289246928256,83.41746367280773,17.513415694687843,0.01,0
185,90.87289246928256,82.48805902880424,19.416644473632118,0.01,0
186,90.87289246928256,80.03437516189689,22.424801778115103,0.01,0
187,90.87289246928256,81.19290599882552,20.986915744184515,0.01,0
188,90.87289246928256,79.60354576362563,23.546063929100004,0.01,0
189,90.87289246928256,79.3569975339316,24.851706479054823,0.01,0
190,90.87289246928256,80.17334229548547,22.493039183910717,0.01,0
191,90.87289246928256,82.80828508105915,18.69424416628267,0.01,0
192,90.87289246928256,83.27706912035624,18.7137332504038,0.01,0
193,90.87289246928256,82.9731103902987,19.126625355254955,0.01,0
194,90.87289246928256,81.56876465534054,22.06670883448275,0.01,0
195,90.87289246928256,79.61437344862517,23.092102478752338,0.01,0
196,90.87289246928256,80.91947495818526,21.07628240633885,0.01,0
197,90.87289246928256,82.55825075366747,18.04731226292228,0.01,0
198,90.87289246928256,83.80420487345333,16.05153969371325,0.01,0
199,90.87289246928256,82.88355613257824,18.83775719059729,0.01,0
