gen,best_fit,mean_fit,std_fit,best_prob,mean_prob,median_prob,std_prob,doomsday
0,21.976119479153724,-3.8163532794185304,6.4578590690644875,0.5371560906850039,0.3993396177938377,0.41119511900707806,0.2218588297949499,0
1,91.49061166337202,7.4856576146851435,24.446749816670504,0.24652561317641086,0.4080415107741005,0.41704203101491677,0.21657061766269753,0
2,91.57237888630937,27.442705219751673,38.944160492233586,0.5271560906850039,0.39204409262864703,0.3901864766569042,0.19807969029590852,0
3,92.13193985886487,42.792991886245375,43.975044362035305,0.2489375238277845,0.34736160179274356,0.30436369583600287,0.18363538270480517,0
4,92.13193985886487,53.311507733234414,43.61760277171197,0.2489375238277845,0.32682826845172985,0.27304555298648536,0.17012333102468177,0
5,92.81821644970792,57.252598286117475,42.303083220863556,0.301681873952443,0.32204836206365156,0.26485428550515555,0.16898935842557275,0
6,92.82951600496185,62.48272882374113,39.812543019574974,0.2489375238277845,0.30003848689301577,0.2617636482109923,0.1496553677409243,0
7,92.81821644970792,63.111139913059745,39.54048269394586,0.301681873952443,0.29567442585341275,0.2589370254929101,0.14680705509276268,0
8,92.81821644970792,64.5756650343059,39.118441445296355,0.301681873952443,0.2809761394099523,0.2610094247525182,0.12273426362118567,0
9,92.84094470078547,66.3480870358012,37.56598103205772,0.2945089791480878,0.27621022624928554,0.2675369556594431,0.11793497902195078,0
10,92.62385026742616,66.52764558379481,37.30144433709808,0.301681873952443,0.2763289249710931,0.26964996410409015,0.11961262814790831,0
11,92.69061166337202,66.03691276167018,37.796562239282245,0.2715395680108529,0.2762843758626627,0.2679215159524829,0.1028674529982487,0
12,92.69061166337202,66.42832036507032,37.92964927982963,0.2715395680108529,0.27869084508308894,0.2626743116760091,0.11449079757319364,0
13,92.69061166337202,64.48915342758147,38.85842876733063,0.2715395680108529,0.26000887762593616,0.25040922755650125,0.109167602491589,0
14,92.69061166337202,63.16548036435583,39.35654722771969,0.2715395680108529,0.23863926905259472,0.23515000945052678,0.10477994548595909,0
15,92.69061166337202,65.7572485868325,37.65207647206597,0.2715395680108529,0.20356590113548065,0.18506947196767776,0.09938431409232616,0
16,92.69061166337202,67.21693085733591,36.64553049817767,0.19986939050833238,0.1796143288316408,0.14951284095879663,0.09181042279638872,0
17,92.69061166337202,68.55575534193098,34.96939702676349,0.18986939050833238,0.16005321401163358,0.12523476100668907,0.09315444317172861,0
18,92.69061166337202,69.05543458063367,34.180351332805365,0.18986939050833238,0.14498442397019407,0.11798797095782486,0.08738966245835736,0
19,92.80278772623588,71.14123855932138,32.59904549111559,0.17986939050833237,0.12876263263758253,0.1127038371755279,0.06364337991298083,0
20,92.64670840550222,67.52013730045913,35.35265488773743,0.10340454536603076,0.12917412743456524,0.11521063646544155,0.05655313558640933,0
