gen,best_fit,mean_fit,std_fit,best_prob,mean_prob,std_prob
0,65.74041853593508,6.05384549070208,17.323080272377727,0.38825989949535716,0.3949966015685121,0.2556370203021234
1,57.4165036912183,6.63482222303131,15.908968517907816,0.31727048968401045,0.4026482360774466,0.23159860062912824
2,39.924826184766175,7.118382757470451,15.05393711419389,0.21363382640442843,0.4249684756631337,0.23637195443112918
3,66.45873645484157,9.7711312169605,16.18322944858637,0.40131677289027723,0.42966122304098,0.2171535456749428
4,56.742332412117364,10.632577349047583,15.57219589290342,0.47171968521006047,0.4251937450750195,0.20179099185058505
5,56.742332412117364,8.04785235607884,15.537215048312646,0.4573759296808802,0.4474706055327134,0.18135383722363707
6,88.24090461150807,7.495988741126939,17.7805124246624,0.40475633104594555,0.428724942288154,0.17284054090962814
7,56.746171188424526,8.609443336712737,15.683632714769713,0.2339676285253225,0.4298387429384867,0.17876339198359303
8,66.44317193830047,11.518294759403611,17.450080279810674,0.25890320126382715,0.38024397593624976,0.1487665106133655
9,66.20394224923463,11.73831973341482,17.176320763443957,0.1865470336432384,0.3435355999835375,0.14465903419729315
10,30.37598249381266,12.780204486369747,14.506410241335216,0.21439570091919916,0.31582660779619426,0.14620033785905254
11,85.06660195700336,12.269636791229363,17.109742583270705,0.17231807745056799,0.31473943132640125,0.16438467055873154
12,65.74233241211736,14.433793422576999,16.297988983667267,0.2565101489132148,0.3061875233045814,0.170411840773047
13,65.74233241211736,15.22014974331491,15.431910804299028,0.22923192675445855,0.323992532096841,0.1834097027719136
14,56.76363040979629,12.009973678697165,15.858179183798372,0.19739237310952343,0.32614843483274103,0.16261549891862026
15,40.04417294239874,10.356075670086307,15.238341958338466,0.19225938582852548,0.3124055749022023,0.14700854454665294
16,30.912403664767616,12.471447974985495,14.196038608944963,0.21535019406979006,0.29617176661128475,0.13848812278497233
17,48.45482255552044,11.211615474045473,15.186549262847123,0.47039500026392456,0.3132222609805178,0.14056675505936886
18,48.427845967822236,13.728324084853062,15.661205357259949,0.30891156490192917,0.33128651743451454,0.14442093031092743
19,65.15093371736654,15.293133489524871,16.73368139788673,0.330155659259658,0.326234576791606,0.14555452424465704
20,65.15093371736654,16.96221966765545,15.728464576456435,0.330155659259658,0.3307750481537349,0.16134849562380543
21,85.99342407327508,14.894148045693619,20.2410174688629,0.1855764970996187,0.39811235546840446,0.2563594856532859
22,74.88190280195865,14.94403128714536,19.483387264206147,0.03685757678101331,0.3254902339586559,0.20548086205679597
23,88.79342407327508,14.606613383227026,20.647320391925742,0.20146712721617427,0.29682570404756836,0.1609478355860896
24,88.79342407327508,15.354511714117358,21.644342976898766,0.20146712721617427,0.28583827302917303,0.14826179702356268
25,88.99342407327508,14.460354483625892,22.166431525479894,0.19981985535753016,0.2753249868550893,0.1471079735320047
26,88.79342407327508,19.514036228128194,22.614688265345457,0.20146712721617427,0.2514306203587774,0.10968863317101467
27,56.75972415482923,20.41476948569981,18.66333322931726,0.20810032371089154,0.2570636357634817,0.09747405653522678
28,84.8137913760995,19.445471186567783,20.765011373542205,0.21136291151430042,0.2592325767243729,0.09294849504204068
29,84.8137913760995,21.98421388084284,21.290036966999804,0.21136291151430042,0.27323148568816547,0.10752165302610972
30,74.27256827514914,22.310931967722826,22.122611922139072,0.20952788058769334,0.27630044978877194,0.11622977587194508
31,84.21173587691742,21.960933036857703,22.049693048902924,0.30823431530898115,0.2849519285948442,0.11554461251098605
32,74.74617118842453,20.89725531760284,22.97637944781255,0.28380997344190784,0.2810276034967831,0.09028054710693559
33,87.26660195700336,23.17174688401029,25.528069367606083,0.28713494171627474,0.28891249232444643,0.09098368703945714
34,86.38939992297534,21.856019941271242,22.81196728515188,0.2659606283351646,0.2810603528068781,0.09465525205913598
35,65.86011544777375,21.436367873444294,20.56798298470282,0.22071645800511874,0.2848880555655216,0.10488984892411787
36,74.73090371629374,22.5065893786066,21.56541288801969,0.336692129482483,0.288074484518909,0.12117825746725486
