gen,best_fit,mean_fit,std_fit
0,26.037685792714353,-2.5816560370415957,7.39233022497182
1,26.037685792714353,-3.05608887262664,7.327275866091086
2,36.56655284834942,-2.1247054763602584,9.377716683024323
3,36.56655284834942,-1.1854019848880541,9.608642253305694
4,37.41637249504821,-1.2862706630067169,9.513083722598846
5,37.41637249504821,-0.031323635796801454,10.269363609071984
6,39.35848812926545,0.8969325567231843,10.162492473845877
7,39.35848812926545,3.2347408144136773,11.736421521073884
8,41.13267763849986,4.691969616525165,11.734330922274264
9,41.13267763849986,5.005041929141084,11.489143423804395
10,41.13267763849986,4.605781979835288,12.016233900949342
11,41.13267763849986,4.5807519580699925,11.499297204885602
12,41.13267763849986,4.842614919511303,10.947098723399716
13,41.13267763849986,5.9643639322803415,11.054153494836509
14,41.13267763849986,5.818619463189761,10.77709171464788
15,41.13267763849986,6.7350354224493,10.141836134550287
16,41.13267763849986,5.658445855030382,9.406374265664205
17,41.13267763849986,7.436047229403239,10.452901361273586
18,41.13267763849986,8.282415097769093,11.156514342592548
19,41.13267763849986,6.823127114313909,10.96957342179622
20,41.13267763849986,7.204996388378747,11.168351015034292
21,41.78361048278323,8.363451821254868,11.53429335503402
22,43.63079046654291,9.45050577271579,11.761531749457534
23,43.63079046654291,8.39271028640858,10.107383806894195
24,43.63079046654291,9.299191850389173,10.60363047076029
25,43.63079046654291,8.591074135926446,9.980353036894865
26,43.63079046654291,9.60123972242336,10.17624823474616
27,43.63079046654291,9.199069552875633,10.583300682260962
28,52.41506097799321,10.269187215318846,10.184600581518774
29,52.41506097799321,10.329305913669419,10.836827061454834
30,52.41506097799321,10.987146961743411,11.259102541589213
31,52.41506097799321,10.027515512278342,10.756035671456772
32,52.41506097799321,10.300248564312545,10.906390411642867
33,52.41506097799321,11.821035360239248,10.853666722748851
34,52.41506097799321,13.431556888920063,10.377932145108776
35,52.41506097799321,14.081510193192152,10.476525721460371
36,52.41506097799321,13.374268846751955,10.377454926302683
37,52.41506097799321,12.695184145221827,10.943566366095931
38,52.41506097799321,12.905978375128912,10.023376773787582
39,52.41506097799321,13.247841851482374,10.299666224201243
40,52.41506097799321,13.767582175810244,11.620636273749627
41,52.41506097799321,11.867177212719225,11.605890998312658
42,52.41506097799321,12.230152765174376,11.917521525126391
43,52.41506097799321,10.523920739481841,10.297746697091792
44,52.41506097799321,11.888532520762356,9.789017046205583
45,52.41506097799321,13.144542482636782,9.803720561125937
46,52.41506097799321,13.978396075755807,10.108613040303819
47,52.41506097799321,14.765387105535824,11.534878846913506
48,52.41506097799321,12.962021673514712,10.923751768533318
49,52.41506097799321,13.301953977931142,12.066104333579577
50,52.41506097799321,16.00661799695265,12.160939731016066
51,52.41506097799321,18.244723337911097,9.463511640154078
52,52.41506097799321,15.651174719353289,10.656764742288367
53,52.41506097799321,17.465589317494057,11.678058978650288
54,52.41506097799321,18.342413248967244,15.21934184264195
55,52.41506097799321,17.191694217310374,14.933962722735863
56,52.41506097799321,13.93237803280083,13.607574472047396
57,58.42296827288015,16.61519198717497,12.752613989096439
58,58.42296827288015,14.50164392008424,14.131264824408952
59,58.42296827288015,17.508006542383963,16.035167364056544
60,58.42296827288015,17.80851104545856,16.139100224513488
61,60.44459341196918,14.405010432026279,15.725675424640375
62,60.44459341196918,11.542628894539803,14.214390636243392
63,60.44459341196918,12.103745484580216,13.371708347141128
64,60.44459341196918,15.227543175839227,16.31710790957022
65,60.44459341196918,14.319525250424682,16.27924443756761
66,60.44459341196918,12.71575970401339,15.5070548368732
67,60.44459341196918,11.44768137276002,14.195140888693798
68,60.44459341196918,14.160399509980339,13.93288259234719
69,60.44459341196918,17.14313919328233,17.47403513948709
70,60.44459341196918,16.081318089962192,16.37050555861563
71,60.44459341196918,12.984786211184337,14.350940587614838
72,60.44459341196918,11.82789902664369,14.243154163967688
73,60.44459341196918,10.882038909584828,14.432793749175898
74,60.44459341196918,16.229443586903173,17.41790097317297
75,60.44459341196918,17.156443521521464,18.16462349202407
76,61.15579118816689,14.915698577704605,16.36855366413135
77,60.44459341196918,14.851017190441748,15.802137605144637
78,60.44459341196918,10.361576796406302,14.662394519940111
79,60.44459341196918,15.132920132581194,18.295244515258574
80,60.44459341196918,14.777867922007674,17.49592285847374
81,60.44459341196918,12.467772239578926,16.395392839014672
82,60.44459341196918,10.65931706741507,14.732090064887975
83,60.44459341196918,9.775142529737069,12.819011510786911
84,60.44459341196918,14.159356191893371,16.84655122952978
85,60.44459341196918,11.8971438204648,15.783169614206832
86,64.38811717986182,14.389578679689032,15.04792748193074
87,64.38811717986182,13.24544781721368,14.087607858079535
88,64.38811717986182,16.421840422405268,13.735115339688823
89,64.38811717986182,19.227253059793828,17.030847964309512
90,64.38811717986182,18.746160304362657,14.482074068706673
91,64.38811717986182,16.703129813215618,14.365700060746091
92,64.38811717986182,17.385669128900105,13.737866938628319
93,64.38811717986182,16.36104161642409,13.882570258720104
94,64.38811717986182,16.958330555781753,17.995180404505152
95,64.44900299703653,17.442513929672792,15.555060753545177
96,64.44900299703653,18.104834888393412,13.641294903686369
97,64.44900299703653,17.29146180812271,13.583260394748125
98,64.44900299703653,15.815648926297234,14.861603450358048
99,64.44900299703653,19.199037928092867,14.8518021834807
100,64.44900299703653,14.341114467674183,15.20789176650633
101,64.44900299703653,14.57631608264141,13.664253052517527
102,64.44900299703653,15.643199407207588,13.792427549617017
103,64.44900299703653,16.494047488922053,13.414871212404538
104,64.44900299703653,18.28133784791462,16.165711479595018
105,64.44900299703653,19.04437583272805,17.864692036932542
106,64.44900299703653,17.478408871437544,14.207662161326114
107,64.44900299703653,16.241492023622353,14.18680132571727
108,64.44900299703653,13.489592487413415,14.401990063657836
109,64.44900299703653,14.074894725769644,17.948742506606788
110,65.84071756543491,14.89380056125718,16.959330867508704
111,64.44900299703653,15.627406400256548,15.227990861591236
