gen,best_fit,mean_fit,std_fit,best_prob,mean_prob,median_prob,std_prob,doomsday
0,21.347510819731347,-3.656581497812887,4.091157968465057,0.14881008311279503,0.3855749129662532,0.3879127548327013,0.227069665442811,0
1,88.17679627126203,6.822924950722787,24.71418096309198,0.7829316293765909,0.35384324101317294,0.3477921247300563,0.2311811350585884,0
2,88.17679627126203,21.33194196723651,34.07927775714257,0.7829316293765909,0.3747622005850174,0.40111557248260915,0.20814443216137812,0
3,88.87669509194096,28.652501896383395,36.73178447035552,0.07363598914180725,0.40987038692798194,0.4033824730333655,0.20640108341040847,0
4,88.8917329693055,28.831658920860892,37.426586162132594,0.07363598914180725,0.4233467703865466,0.39567128334835183,0.20002709740651053,0
5,88.89679627126205,30.220615254091182,38.98466171719237,0.32319986532354006,0.3948965102283865,0.3671558702407083,0.20604244995672621,0
6,89.36341372532802,33.08628486238785,40.275542485687424,0.11505500358741366,0.35077535270643595,0.31594452281882734,0.2072806322960908,0
7,89.06669517527554,44.01246634808911,39.84744810303348,0.3990404104574253,0.2942622514995994,0.2554154703971287,0.19675543219350652,0
8,90.62835394814499,46.69196064449215,41.194416776182635,0.19837391693078651,0.24071473424271422,0.19839943188703274,0.17017840867979206,0
9,90.981682633452,46.68956750304527,41.153853081517816,0.2571680907990132,0.21897502282934692,0.1720959371466681,0.15549839207294092,0
10,90.981682633452,49.55211825298658,40.62960082619574,0.2571680907990132,0.20595933602696279,0.17085745117000942,0.13419516087758884,0
11,91.40341372532802,44.390546468327535,41.71201779437805,0.18701735069722203,0.2140055313162281,0.19837391693078651,0.10694201983876579,0
12,91.40341372532802,43.65344866141911,41.65491611957293,0.18701735069722203,0.21145477014941022,0.19559330529698504,0.10215587085728242,0
13,91.58168263345199,38.598268682941146,40.62286437500723,0.4811352899371125,0.21548967098229024,0.19230650126723983,0.10172206408811796,0
14,91.40814186652396,38.879575415825194,40.60902502282038,0.11521622510535419,0.22155728085610907,0.18334860106445733,0.1199652368941985,0
15,91.46341372532802,41.60504993372102,41.31424161590727,0.11521622510535419,0.21451023998365898,0.17640633688764842,0.11853026124768247,0
16,91.46341372532802,40.65847273931026,40.565258832102444,0.11521622510535419,0.18853614520723236,0.16590610662311128,0.10435266528344218,0
17,91.52341372532801,44.130452491552404,40.813951113761526,0.11521622510535419,0.17582056174333588,0.1497261775352589,0.10081780718433321,0
18,91.5787078342906,44.33446467928746,40.800137946015575,0.1152162251053542,0.153854435295234,0.13367895696379545,0.07711687725102774,0
19,91.58341372532801,43.67194919819058,39.72777711880655,0.11022596645070017,0.14403435707765402,0.12353009731177483,0.07084578987377403,0
20,91.6387078342906,43.45716019858057,39.51451989278133,0.1152162251053542,0.1392343058332764,0.1152162251053542,0.07926737649364772,0
21,91.58341372532801,46.366935317980726,39.13623649493194,0.11022596645070017,0.12774392524280884,0.11521622510535419,0.05416092640074581,0
22,91.59289246928256,48.64270194220061,39.22257849706817,0.1152162251053542,0.12661262742840648,0.11521622510535419,0.0518627907647465,0
23,91.6387078342906,50.87885516734459,39.054623311098524,0.11396490718951016,0.1246647850945438,0.11521622510535418,0.05710731894727328,0
24,91.6387078342906,45.62428057580955,39.072366359085954,0.11396490718951016,0.12494373373732766,0.11397080894193351,0.06304400911763489,0
25,91.6387078342906,46.36798187774122,38.954573694034174,0.11365560741276336,0.13493495738377195,0.11396490718951016,0.08236162427213967,0
26,91.58814186652396,48.60462007166355,38.053848177819944,0.11272179622228357,0.14028485715978006,0.11302202075539008,0.09136471161874399,0
27,91.58814186652396,48.357555020094274,38.94434109219692,0.11873144351392918,0.13816513964104818,0.1130138761445384,0.09200777515665139,0
28,91.59289246928256,46.993559782820874,39.28637016139196,0.06136354346082763,0.14930081866494757,0.11272179622228357,0.1255185849180951,0
29,91.6387078342906,45.265893172687086,39.6318580002245,0.11084459929606968,0.14056111828482204,0.11162656064951132,0.12376234422843257,0
30,91.64341372532802,44.52824287985055,39.75088981606138,0.11084459929606968,0.16377694456494307,0.11084459929606968,0.15447462694702818,0
