gen,id,enemies,best_fit,mean_fit,std_fit
0,start,1347,17.916265680832197,-5.04086041353824,3.906936076870957
1,start,1347,21.135782864300396,-4.85973537163647,4.57760358565736
2,start,1347,21.135782864300396,-3.835908157288103,5.377744125507152
3,start,1347,21.135782864300396,-2.8787856588931944,5.998477666627743
4,start,1347,21.135782864300396,-3.0035408752421353,6.204969937307868
5,start,1347,21.135782864300396,-2.9604701323524836,6.204898516741006
6,start,1347,25.058592634138606,-0.25649753810950043,7.794936782958753
7,start,1347,25.058592634138606,-0.21636968087674938,7.657164937303988
8,start,1347,32.03927912531219,0.05149890799839749,9.011306469654015
9,start,1347,32.03927912531219,1.6481789884933427,8.977785554688614
10,start,1347,32.03927912531219,2.722954162897586,9.418565240779962
11,start,1347,32.03927912531219,5.209755496808555,9.728613140528202
12,start,1347,32.03927912531219,7.369256738999869,9.434544848104533
13,start,1347,32.03927912531219,7.455480670434226,9.676262642381904
14,start,1347,32.03927912531219,8.648010309755529,9.235451442353655
15,start,1347,32.03927912531219,8.648783177307592,9.389910584931659
16,start,1347,32.03927912531219,8.232556356462824,9.153751408042083
17,start,1347,32.03927912531219,8.664030095324057,8.858573518220002
18,start,1347,32.03927912531219,8.93508798289737,8.892860701605262
19,start,1347,32.03927912531219,8.827443413846456,9.245813833967322
20,start,1347,32.03927912531219,10.697228116495026,8.63909665384015
21,start,1347,32.03927912531219,12.63259109476311,7.329016275870038
22,start,1347,32.476709901962074,13.477038290405519,6.957023406167559
23,start,1347,32.476709901962074,11.794374496407142,8.26035722805639
24,start,1347,32.476709901962074,10.787041806958246,8.331986431381832
25,start,1347,32.476709901962074,10.612803121528163,8.573871642894403
26,start,1347,32.476709901962074,11.712064302357168,7.867677955045955
27,start,1347,35.8941580895023,11.257909302715463,8.548995056439255
28,start,1347,36.10448680779035,10.266221749899081,9.041415850184022
29,start,1347,36.10448680779035,9.946006678301865,9.000877547944427
30,start,1347,36.10448680779035,11.028653833609408,8.567822394768982
31,start,1347,36.10448680779035,10.07840166740832,9.374138035225714
32,start,1347,36.10448680779035,10.362380753132967,9.270540271207794
33,start,1347,36.10448680779035,10.988173904685016,8.175163820072704
34,start,1347,36.10448680779035,12.278897758011004,8.004425363859829
35,start,1347,36.10448680779035,11.549937036240097,8.038098487542923
36,start,1347,36.10448680779035,12.563585081120305,8.24573428563601
37,start,1347,36.10448680779035,11.399774306859587,8.435129520453529
38,start,1347,36.10448680779035,11.484833395094562,8.230464074699132
39,start,1347,36.10448680779035,11.42914430961657,8.271138459298692
40,start,1347,36.10448680779035,11.889171907325608,7.457055849746705
41,start,1347,36.10448680779035,12.11409651009601,7.774104772584324
42,start,1347,36.10448680779035,11.036799990193732,8.221096345076266
43,start,1347,36.10448680779035,11.497427838264374,7.774328962973353
44,start,1347,36.10448680779035,11.379006943254906,7.715537822628941
45,start,1347,36.10448680779035,11.77676263722725,7.377270797514101
46,start,1347,36.10448680779035,11.77491267427606,7.303428433435476
47,start,1347,36.10448680779035,10.664541621955978,8.246925004991787
48,start,1347,36.10448680779035,10.684022018568303,8.065532412427922
49,start,1347,36.10448680779035,11.33527382063246,7.73030578453872
0,gi,1347,21.128406718773295,12.429724848382753,5.905482177582241
0,si1,34,30.536168194974387,18.881825301323634,7.914237663152752
0,si2,14,21.397881179120297,17.547546674828425,8.250125834249756
0,si3,41,39.23167900420623,18.713740623385487,9.049959143250284
1,gi,1347,29.329473131871634,12.082553260402968,7.772797925044101
1,si1,34,30.536168194974387,19.288598978195843,7.825333121657285
1,si2,14,38.476437693850485,18.984459602860888,8.689874950411294
1,si3,41,39.23167900420623,16.555200388456058,12.248769036850028
2,gi,1347,29.329473131871634,12.038233402401579,10.24175436555842
2,si1,34,30.634023984978146,18.957394616942306,7.344835477453192
2,si2,14,57.018585788745526,21.19556101950387,9.792659302964523
2,si3,41,39.23167900420623,17.982977141202024,9.526346370123445
3,gi,1347,31.375773114352313,11.55665780774123,9.415192372233586
