gen,best_fit,mean_fit,std_fit,best_prob,mean_prob,std_prob,doomsday
0,47.7290115681417,2.031786992497544,13.85603097053112,0.17467447141884207,0.5261714999643212,0.2773089730046011,0
1,47.7290115681417,3.4897132532059993,14.72231820736895,0.17467447141884207,0.4609291350331861,0.26969583072177133,0
2,30.179917069647637,3.9126735072642305,14.158497901128161,0.5766960956379654,0.45879760111084955,0.2642215378932706,0
3,66.17991706964764,4.090093357891727,15.27774202876654,0.38260309424807304,0.5239510481567001,0.24540109407242347,0
4,30.179917069647637,3.556773919217127,14.058920213770616,0.5666960956379654,0.5168746094646726,0.23817045952027036,0
5,39.918595635015535,5.189852470101803,15.119794532624912,0.49451018682589265,0.48727151288534154,0.23452164221584723,0
6,30.963047397586372,4.2315476560619025,14.337516370562165,0.0,0.4754128370701938,0.21290229043949643,0
7,30.179917069647637,3.075761216453083,13.372532083068483,0.5566960956379654,0.47570515333153024,0.21157772793515692,0
8,26.38053823092552,2.3430416468520265,12.65675572839788,0.5566960956379654,0.4497397595838196,0.19010252664734315,0
9,30.179917069647637,1.9274568338267892,12.845793107962029,0.33742112450523676,0.43186631794682606,0.17945285348029386,0
10,22.581159392203404,1.562047466012059,12.286380143751442,0.35200576745844697,0.44027856976935614,0.1784940690331409,0
11,30.179917069647637,2.675462495646513,13.138467050312443,0.892118153935749,0.4244645374953857,0.17893326863771014,0
12,30.179917069647637,3.047989823712771,13.219518579235638,0.8536730898390689,0.3997929424716789,0.18349933489249654,0
13,22.581159392203404,3.844323841674775,13.306958265034991,0.2821351276102681,0.3885945497860254,0.16679320957843521,0
14,30.179917069647637,4.670327239452451,13.654530500460147,0.2331778513636131,0.3739254896067966,0.17155103044591494,0
15,39.37959913428285,5.216578279740449,13.926215654499167,0.2890317302387533,0.34179796474858454,0.16023272728201354,0
16,39.37959913428285,9.214769764167972,14.281616019349126,0.2464685318445473,0.3199546942036017,0.15394228842176466,0
17,22.581159392203404,9.219051438030904,14.005765494661617,0.2830867582931412,0.3092501239146697,0.1261492569834759,0
18,30.37959913428285,11.10598180002702,13.836122966097866,0.25599683496906767,0.2906530869276959,0.10033654915926662,0
19,40.187815644627584,10.725730495928296,14.38421836968682,0.2948175109654796,0.3067865382144572,0.10600016053570352,0
20,57.47454706086822,13.04311525301252,14.383141880794962,0.20912804764648252,0.3115233024530142,0.12419661303676027,0
21,39.4165036912183,12.956594681754883,13.681789428087852,0.25599683496906767,0.32315126749588674,0.13379699942656614,0
22,22.581159392203404,10.949253999929248,13.825780055065565,0.2808083655659187,0.31376766088142705,0.15856906512418972,0
23,30.64341372532799,13.911606657141414,12.814438892951804,0.8970757387458208,0.3603992618067675,0.2204891433942198,1
24,22.581159392203404,12.049569245578377,13.356252011815286,0.23038044560632442,0.327691712042237,0.19681031747763184,0
25,22.581159392203404,10.568648604341261,13.895902928892124,0.16145521514562988,0.32750037231357204,0.17618116615623255,0
26,39.32667673282851,12.514401376435284,13.71999116989983,0.24194147782569791,0.32594572022593205,0.16586260448226797,0
27,22.581159392203404,10.781183933183264,13.69390083337197,0.3389813985087356,0.3368943586046785,0.1692013373487788,0
28,22.581159392203404,11.610193229862084,13.523782786415854,0.250910990192865,0.34054293035594624,0.16857310814051468,0
29,30.179917069647637,8.241544937082091,14.23167460823686,0.3259408840968193,0.3346066062116185,0.1526864459938055,0
30,39.812614194159245,9.80642137046908,14.46820977018896,0.35790948279422996,0.3638723372849836,0.1827145150496189,0
31,30.179917069647637,6.686296259862075,14.11000082932532,0.30509820540469934,0.35757977429373405,0.15827007364949272,0
32,30.179917069647637,7.918104382008657,14.284317772560081,0.5824802798389455,0.3805073704651546,0.17993692888054902,0
33,30.179917069647637,8.721461623690397,14.128150040295967,0.2572742687337169,0.37107403326792265,0.17071310689688213,0
34,30.17105438238979,7.323313387566634,13.98236935075938,0.01699767745420555,0.3647539984038245,0.16108464149418375,0
35,30.17105438238979,6.141832694100745,13.863864444412668,0.01699767745420555,0.3618010701744798,0.17418065242594866,0
36,30.179917069647637,8.19045453644763,14.13181740912397,0.3917395265292474,0.3368664689389462,0.16646065898133372,0
37,30.372378886309363,10.180526640977632,14.020387197903066,0.08631957366295843,0.34566490507471165,0.2003140068923806,0
38,30.179917069647637,7.166887707450244,13.979860253507836,0.9883478283207703,0.39164328084234945,0.24122422574790692,0
39,22.581159392203404,5.829360264434315,13.546259833060324,0.02154566022032034,0.36864317273610003,0.2223443759480519,0
40,22.581159392203404,7.987205499791706,13.605098651666172,0.28421030820725546,0.34230867906121426,0.19560328661635346,0
41,48.361645330666256,7.578403197278931,14.49602728303293,0.463419125546139,0.331925366986116,0.18852777889208538,0
42,48.361645330666256,8.018063170224051,15.098069977049756,0.463419125546139,0.28921284889251914,0.15517444607528733,0
43,22.581159392203404,6.12957401326556,13.927107447391473,0.1518084313492936,0.3074578273612595,0.17084162128915328,0
44,31.102160200049088,6.549903888827347,14.1497278634747,0.14766275967499196,0.29350940610715914,0.15969519330100296,0
45,57.45092391510478,8.772011323561339,15.20002730526408,0.388722967516268,0.28328125319253233,0.1580261561940992,0
46,22.581159392203404,8.233180815938237,13.816373898760212,0.0,0.27939722970389325,0.14464188075869733,0
47,22.581159392203404,11.062831532976839,13.547800062268381,0.14580729463670836,0.25823142481610983,0.13222036134983653,0
48,31.023266257579426,14.840597649509945,12.33242674271571,0.5346476776235644,0.2813349864050486,0.15907080160885406,0
49,30.956574883080755,13.771453565040424,13.048436936562084,0.2657168559998904,0.27106890835298747,0.13840904082683433,0
