gen,id,enemies,best_fit,mean_fit,std_fit
0,start,1347,21.0787954617484,-4.089906917447156,5.572253509244149
1,start,1347,21.0787954617484,-3.6589732367762893,6.018712325220441
2,start,1347,21.290711437102434,-1.9141883245416895,7.721797377657578
3,start,1347,21.290711437102434,-2.2939294990437187,7.318569700851806
4,start,1347,21.290711437102434,-2.2055725898439924,7.59077797171972
5,start,1347,21.290711437102434,-1.2660752433639315,7.668018184790566
6,start,1347,21.290711437102434,-1.8366294744843799,7.533172821890778
7,start,1347,25.4083476588048,-0.9960928174120233,7.764713032545996
8,start,1347,32.98510836490645,0.18956174756812424,9.14383978601418
9,start,1347,32.98510836490645,0.3212954378212865,8.799840753300472
10,start,1347,32.98510836490645,1.052015251366007,9.446473018892648
11,start,1347,32.98510836490645,2.07393110858375,9.566395160103175
12,start,1347,32.98510836490645,3.7555031508822907,9.703371904026747
13,start,1347,32.98510836490645,5.706938369664342,10.030850944522921
14,start,1347,32.98510836490645,7.783760450291042,10.153116812379702
15,start,1347,32.98510836490645,9.152642319835095,9.874076692050725
16,start,1347,34.11663936430152,9.73388387243955,9.705516805111108
17,start,1347,34.11663936430152,10.485427120687852,9.151000284177053
18,start,1347,34.11663936430152,9.461651237598701,9.852699243145276
19,start,1347,34.11663936430152,11.015234542682952,8.211469237835205
20,start,1347,34.11663936430152,10.356185673759894,8.884947273888892
21,start,1347,34.11663936430152,10.546408498458876,8.576368145103963
22,start,1347,35.32566596305985,10.208111345858068,8.759832957592362
23,start,1347,35.32566596305985,10.418726202374819,8.555381808811232
24,start,1347,35.32566596305985,11.328923323839257,8.153970361822163
25,start,1347,35.32566596305985,12.370755062729126,7.700881993489792
26,start,1347,35.32566596305985,11.983827443941244,7.879289604566921
27,start,1347,44.95618908951643,11.305381004272931,8.6916290167799
28,start,1347,44.95618908951643,11.55770459509518,8.141724255223103
29,start,1347,44.95618908951643,11.415652343109853,8.322393323362064
30,start,1347,44.95618908951643,11.540223284594664,9.46629683343467
31,start,1347,44.95618908951643,11.459331497492094,9.433344360900575
32,start,1347,44.95618908951643,11.581464580649158,10.39961930644659
33,start,1347,46.441183239156715,11.326308616996851,10.972722797374532
34,start,1347,46.441183239156715,11.148775071764327,10.535840251211292
35,start,1347,46.441183239156715,12.014690288660073,9.148529425948569
36,start,1347,46.441183239156715,11.978531177875743,9.20303390642383
37,start,1347,46.441183239156715,11.662209217784461,9.380023626454017
